time,min_depth,max_depth,failure
1.39781e+07,3.2,3.4,1
1.39798e+07,3.2,3.4,1
1.39807e+07,3.2,3.4,1
1.39816e+07,3.2,3.4,1
1.39835e+07,3.2,3.4,1
1.39844e+07,3.2,3.4,1
1.39853e+07,3.2,3.4,1
1.39862e+07,3.2,3.4,1
1.3987e+07,3.2,3.4,1
1.39898e+07,3.2,3.4,1
1.39907e+07,3.2,3.4,1
1.42004e+07,3.2,3.4,1
1.42013e+07,3.2,3.4,1
1.42022e+07,3.2,3.4,1
1.4203e+07,3.2,3.4,1
1.43822e+07,3.2,3.4,1
1.43831e+07,3.2,3.4,1
1.43849e+07,3.2,3.4,1
1.43858e+07,3.2,3.4,1
1.43867e+07,3.2,3.4,1
1.44344e+07,3.2,3.4,1
1.44353e+07,3.2,3.4,1
1.44362e+07,3.2,3.4,1
1.44371e+07,3.2,3.4,1
1.4438e+07,3.2,3.4,1
1.44389e+07,3.2,3.4,1
1.44398e+07,3.2,3.4,1
1.44416e+07,3.2,3.4,1
1.44425e+07,3.2,3.4,1
1.44452e+07,3.2,3.4,1
1.44461e+07,3.2,3.4,1
1.44479e+07,3.2,3.4,1
1.44497e+07,3.2,3.4,1
1.44506e+07,3.2,3.4,1
1.45208e+07,3.2,3.4,1
1.45217e+07,3.2,3.4,1
1.46153e+07,3.2,3.4,1
1.46162e+07,3.2,3.4,1
1.46171e+07,3.2,3.4,1
1.4618e+07,3.2,3.4,1
1.46189e+07,3.2,3.4,1
1.46225e+07,3.2,3.4,1
1.46234e+07,3.2,3.4,1
1.46342e+07,3.2,3.4,1
1.46351e+07,3.2,3.4,1
1.4636e+07,3.2,3.4,1
1.46369e+07,3.2,3.4,1
1.46378e+07,3.2,3.4,1
1.46387e+07,3.2,3.4,1
1.49429e+07,3.2,3.4,1
1.49438e+07,3.2,3.4,1
1.50248e+07,3.2,3.4,1
1.50257e+07,3.2,3.4,1
1.50266e+07,3.2,3.4,1
1.51346e+07,3.2,3.4,1
1.51364e+07,3.2,3.4,1
1.51391e+07,3.2,3.4,1
1.514e+07,3.2,3.4,1
1.51418e+07,3.2,3.4,1
1.51427e+07,3.2,3.4,1
1.51436e+07,3.2,3.4,1
1.51445e+07,3.2,3.4,1
1.5149e+07,3.2,3.4,1
1.51508e+07,3.2,3.4,1
1.51517e+07,3.2,3.4,1
1.51526e+07,3.2,3.4,1
1.51535e+07,3.2,3.4,1
1.51544e+07,3.2,3.4,1
1.51562e+07,3.2,3.4,1
1.51571e+07,3.2,3.4,1
1.51589e+07,3.2,3.4,1
1.51598e+07,3.2,3.4,1
1.51607e+07,3.2,3.4,1
1.51616e+07,3.2,3.4,1
1.51625e+07,3.2,3.4,1
1.51634e+07,3.2,3.4,1
1.51643e+07,3.2,3.4,1
1.51652e+07,3.2,3.4,1
1.51706e+07,3.2,3.4,1
1.51715e+07,3.2,3.4,1
1.51724e+07,3.2,3.4,1
1.51733e+07,3.2,3.4,1
1.5176e+07,3.2,3.4,1
1.51769e+07,3.2,3.4,1
1.51922e+07,3.2,3.4,1
1.51931e+07,3.2,3.4,1
1.51949e+07,3.2,3.4,1
1.51958e+07,3.2,3.4,1
1.51967e+07,3.2,3.4,1
1.51976e+07,3.2,3.4,1
1.5248e+07,3.2,3.4,1
1.52498e+07,3.2,3.4,1
1.52966e+07,3.2,3.4,1
1.52975e+07,3.2,3.4,1
1.53002e+07,3.2,3.4,1
1.53011e+07,3.2,3.4,1
1.53047e+07,3.2,3.4,1
1.53056e+07,3.2,3.4,1
1.53083e+07,3.2,3.4,1
1.53092e+07,3.2,3.4,1
1.53101e+07,3.2,3.4,1
1.5311e+07,3.2,3.4,1
1.53533e+07,3.2,3.4,1
1.53542e+07,3.2,3.4,1
1.53551e+07,3.2,3.4,1
1.5356e+07,3.2,3.4,1
1.53569e+07,3.2,3.4,1
1.53578e+07,3.2,3.4,1
1.53722e+07,3.2,3.4,1
1.53731e+07,3.2,3.4,1
1.53992e+07,3.2,3.4,1
1.54001e+07,3.2,3.4,1
1.54019e+07,3.2,3.4,1
1.54037e+07,3.2,3.4,1
1.54046e+07,3.2,3.4,1
1.54055e+07,3.2,3.4,1
1.54118e+07,3.2,3.4,1
1.54127e+07,3.2,3.4,1
1.54424e+07,3.2,3.4,1
1.54433e+07,3.2,3.4,1
1.54442e+07,3.2,3.4,1
1.54451e+07,3.2,3.4,1
1.5446e+07,3.2,3.4,1
1.54478e+07,3.2,3.4,1
1.54496e+07,3.2,3.4,1
1.54505e+07,3.2,3.4,1
1.54532e+07,3.2,3.4,1
1.54541e+07,3.2,3.4,1
1.5455e+07,3.2,3.4,1
1.54559e+07,3.2,3.4,1
1.54577e+07,3.2,3.4,1
1.54595e+07,3.2,3.4,1
1.54604e+07,3.2,3.4,1
1.54613e+07,3.2,3.4,1
1.54658e+07,3.2,3.4,1
1.54667e+07,3.2,3.4,1
1.54847e+07,3.2,3.4,1
1.54856e+07,3.2,3.4,1
1.54991e+07,3.2,3.4,1
1.55e+07,3.2,3.4,1
1.55099e+07,3.2,3.4,1
1.55117e+07,3.2,3.4,1
1.55126e+07,3.2,3.4,1
1.55135e+07,3.2,3.4,1
1.55144e+07,3.2,3.4,1
1.55153e+07,3.2,3.4,1
1.55189e+07,3.2,3.4,1
1.55198e+07,3.2,3.4,1
1.55207e+07,3.2,3.4,1
1.55225e+07,3.2,3.4,1
1.55234e+07,3.2,3.4,1
1.55243e+07,3.2,3.4,1
1.56449e+07,3.2,3.4,1
1.56458e+07,3.2,3.4,1
1.56467e+07,3.2,3.4,1
1.56476e+07,3.2,3.4,1
1.56485e+07,3.2,3.4,1
1.56494e+07,3.2,3.4,1
1.56602e+07,3.2,3.4,1
1.56611e+07,3.2,3.4,1
1.5662e+07,3.2,3.4,1
1.56638e+07,3.2,3.4,1
1.56647e+07,3.2,3.4,1
1.56656e+07,3.2,3.4,1
1.56665e+07,3.2,3.4,1
1.56674e+07,3.2,3.4,1
1.56683e+07,3.2,3.4,1
1.56692e+07,3.2,3.4,1
1.56719e+07,3.2,3.4,1
1.56728e+07,3.2,3.4,1
1.56764e+07,3.2,3.4,1
1.56773e+07,3.2,3.4,1
1.57538e+07,3.2,3.4,1
1.57547e+07,3.2,3.4,1
1.57601e+07,3.2,3.4,1
1.5761e+07,3.2,3.4,1
1.57817e+07,3.2,3.4,1
1.57826e+07,3.2,3.4,1
1.57844e+07,3.2,3.4,1
1.57862e+07,3.2,3.4,1
1.57871e+07,3.2,3.4,1
1.57889e+07,3.2,3.4,1
1.57907e+07,3.2,3.4,1
1.57934e+07,3.2,3.4,1
1.57943e+07,3.2,3.4,1
1.57952e+07,3.2,3.4,1
1.57961e+07,3.2,3.4,1
1.5797e+07,3.2,3.4,1
1.57988e+07,3.2,3.4,1
1.57997e+07,3.2,3.4,1
1.58006e+07,3.2,3.4,1
1.58015e+07,3.2,3.4,1
1.58051e+07,3.2,3.4,1
1.58078e+07,3.2,3.4,1
1.58087e+07,3.2,3.4,1
1.58114e+07,3.2,3.4,1
1.58123e+07,3.2,3.4,1
1.58132e+07,3.2,3.4,1
1.58141e+07,3.2,3.4,1
1.59815e+07,3.2,3.4,1
1.59824e+07,3.2,3.4,1
1.59833e+07,3.2,3.4,1
1.59842e+07,3.2,3.4,1
1.64297e+07,3.2,3.4,1
1.64324e+07,3.2,3.4,1
1.64333e+07,3.2,3.4,1
1.64387e+07,3.2,3.4,1
1.64531e+07,3.2,3.4,1
1.64549e+07,3.2,3.4,1
1.64567e+07,3.2,3.4,1
1.64594e+07,3.2,3.4,1
1.64612e+07,3.2,3.4,1
1.64621e+07,3.2,3.4,1
1.64639e+07,3.2,3.4,1
1.64648e+07,3.2,3.4,1
1.64837e+07,3.2,3.4,1
1.64846e+07,3.2,3.4,1
1.65629e+07,3.2,3.4,1
1.65638e+07,3.2,3.4,1
1.65692e+07,3.2,3.4,1
1.65719e+07,3.2,3.4,1
1.65728e+07,3.2,3.4,1
1.65737e+07,3.2,3.4,1
1.65755e+07,3.2,3.4,1
1.65764e+07,3.2,3.4,1
1.65773e+07,3.2,3.4,1
1.67105e+07,3.2,3.4,1
1.67114e+07,3.2,3.4,1
1.67123e+07,3.2,3.4,1
1.67132e+07,3.2,3.4,1
1.67159e+07,3.2,3.4,1
1.67168e+07,3.2,3.4,1
1.67186e+07,3.2,3.4,1
1.67195e+07,3.2,3.4,1
1.67249e+07,3.2,3.4,1
1.67258e+07,3.2,3.4,1
1.67267e+07,3.2,3.4,1
1.67285e+07,3.2,3.4,1
1.67303e+07,3.2,3.4,1
1.67348e+07,3.2,3.4,1
1.67357e+07,3.2,3.4,1
1.67366e+07,3.2,3.4,1
1.67375e+07,3.2,3.4,1
1.67393e+07,3.2,3.4,1
1.67411e+07,3.2,3.4,1
1.67429e+07,3.2,3.4,1
1.67447e+07,3.2,3.4,1
1.67456e+07,3.2,3.4,1
1.67501e+07,3.2,3.4,1
1.67519e+07,3.2,3.4,1
1.67528e+07,3.2,3.4,1
1.67537e+07,3.2,3.4,1
1.67546e+07,3.2,3.4,1
1.67555e+07,3.2,3.4,1
1.67564e+07,3.2,3.4,1
1.67573e+07,3.2,3.4,1
