FoS,days,distance_m_from_calib_to_test_point,day_of_failure,anomalous_failure
-68.88911,1135,,,
-64.771484,1136,,,
-62.118546,1137,,,
-60.06015,1138,,,
-63.019745,1139,,,
-68.14858,1140,,,
-67.434166,1141,,,
-61.783844,1142,,,
-59.53862,1143,,,
-58.243988,1144,,,
-63.309433,1145,,,
-58.845314,1146,,,
-61.767723,1147,,,
-76.00027,1148,,,
-66.44005,1149,,,
-80.36982,1150,,,
-70.1084,1151,,,
-65.386475,1152,,,
-76.225716,1153,,,
-66.87818,1154,,,
-69.56966,1155,,,
-72.94697,1156,,,
-66.8241,1157,,,
-75.01455,1158,,,
-85.174614,1159,,,
-87.469,1160,,,
-93.53777,1161,,,
-96.57371,1162,,,
-82.691,1163,,,
-77.68481,1164,,,
-74.47347,1165,,,
-88.87841,1166,,,
-95.62742,1167,,,
-83.07107,1168,,,
-78.145424,1169,,,
-76.93946,1170,,,
-81.339455,1171,,,
-75.11234,1172,,,
-88.78669,1173,,,
-82.62859,1174,,,
-94.90012,1175,,,
-100.206154,1176,,,
-104.33927,1177,,,
-93.964195,1178,,,
-86.601036,1179,,,
-88.42545,1180,,,
-82.66111,1181,,,
-80.367226,1182,,,
-77.98235,1183,,,
-75.9511,1184,,,
-74.63647,1185,,,
-91.2214,1186,,,
-82.744316,1187,,,
-77.91401,1188,,,
-75.49273,1189,,,
-75.281,1190,,,
-72.908806,1191,,,
-71.378716,1192,,,
-70.095566,1193,,,
-68.951904,1194,,,
-74.656105,1195,,,
-69.938576,1196,,,
-69.233826,1197,,,
-67.75056,1198,,,
-66.53285,1199,,,
-65.79772,1200,,,
-64.79519,1201,,,
-64.12482,1202,,,
-81.49235,1203,,,
-70.77029,1204,,,
-68.07031,1205,,,
-66.41138,1206,,,
-65.14161,1207,,,
-64.92917,1208,,,
-63.540024,1209,,,
-62.7108,1210,,,
-61.840233,1211,,,
-61.144722,1212,,,
-60.427742,1213,,,
-67.44779,1214,,,
-80.80381,1215,,,
-69.25865,1216,,,
-67.520996,1217,,,
-73.43435,1218,,,
-85.610435,1219,,,
-73.613594,1220,,,
-78.14797,1221,,,
-72.04751,1222,,,
-87.634926,1223,,,
-93.92779,1224,,,
-82.81663,1225,,,
-78.52996,1226,,,
-75.391365,1227,,,
-91.22436,1228,,,
-79.312004,1229,,,
-76.507545,1230,,,
-92.16552,1231,,,
-80.14007,1232,,,
-76.795006,1233,,,
-75.379845,1234,,,
-73.28222,1235,,,
-71.65722,1236,,,
-81.99262,1237,,,
-92.544334,1238,,,
-98.35331,1239,,,
-84.707115,1240,,,
-81.230415,1241,,,
-78.14541,1242,,,
-80.54861,1243,,,
-78.608345,1244,,,
-84.09705,1245,,,
-94.77375,1246,,,
-83.10291,1247,,,
-79.47895,1248,,,
-77.14164,1249,,,
-75.51525,1250,,,
-85.71163,1251,,,
